,Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
250,Northern,Southbound,Camden Town,Mornington Crescent,0.64,1.63,1.5,1.5
251,Northern,Southbound,Mornington Crescent,Euston,0.82,1.52,2.0,2.0
252,Northern,Southbound,Euston,Warren Street,0.58,1.18,1.5,1.5
253,Northern,Southbound,Warren Street,Goodge Street,0.46,1.07,1.5,1.5
254,Northern,Southbound,Goodge Street,Tottenham Court Road,0.62,1.32,1.73,1.5
255,Northern,Southbound,Tottenham Court Road,Leicester Square,0.4,0.98,1.0,1.0
256,Northern,Southbound,Leicester Square,Charing Cross,0.46,1.2,1.99,1.5
257,Northern,Southbound,Charing Cross,Embankment,0.27,0.8,1.0,1.0
258,Northern,Southbound,Embankment,Waterloo,0.7,1.37,1.5,1.5
259,Northern,Southbound,Waterloo,Kennington,1.89,2.97,3.96,3.4
260,Northern,Southbound,Camden Town,Euston,1.71,2.95,3.5,3.55
261,Northern,Southbound,Euston,Kings Cross,0.61,1.53,1.5,1.5
262,Northern,Southbound,Kings Cross,Angel,1.38,2.18,2.5,2.5
263,Northern,Southbound,Angel,Old Street,1.44,2.87,3.0,3.0
264,Northern,Southbound,Old Street,Moorgate,0.69,1.37,2.0,1.51
265,Northern,Southbound,Moorgate,Bank,0.82,1.9,2.0,2.0
266,Northern,Southbound,Bank,London Bridge,0.69,1.55,2.25,2.0
267,Northern,Southbound,London Bridge,Borough,0.67,1.45,1.5,1.5
268,Northern,Southbound,Borough,Elephant & Castle,0.85,1.72,2.0,2.0
269,Northern,Southbound,Elephant & Castle,Kennington,0.9,2.03,3.0,3.47
270,Northern,Southbound,Kennington,Oval,0.82,1.58,2.0,2.0
271,Northern,Southbound,Oval,Stockwell,1.36,2.2,2.5,2.5
272,Northern,Southbound,Stockwell,Clapham North,0.82,1.55,1.5,1.5
273,Northern,Southbound,Clapham North,Clapham Common,0.62,1.4,1.5,1.5
274,Northern,Southbound,Clapham Common,Clapham South,1.25,2.0,2.5,2.5
275,Northern,Southbound,Clapham South,Balham,1.15,1.88,2.0,2.0
276,Northern,Southbound,Balham,Tooting Bec,0.98,1.67,2.0,2.0
277,Northern,Southbound,Tooting Bec,Tooting Broadway,1.1,1.77,2.0,2.0
278,Northern,Southbound,Tooting Broadway,Colliers Wood,1.2,1.98,2.0,2.0
279,Northern,Southbound,Colliers Wood,South Wimbledon,1.14,1.88,2.0,2.0
280,Northern,Southbound,South Wimbledon,Morden,1.46,2.95,3.55,3.56
281,Northern,Northbound,Morden,South Wimbledon,1.46,2.35,2.5,2.5
282,Northern,Northbound,South Wimbledon,Colliers Wood,1.14,1.85,2.0,2.0
283,Northern,Northbound,Colliers Wood,Tooting Broadway,1.2,1.97,2.0,2.0
284,Northern,Northbound,Tooting Broadway,Tooting Bec,1.1,1.88,2.0,2.0
285,Northern,Northbound,Tooting Bec,Balham,0.98,1.65,2.0,2.0
286,Northern,Northbound,Balham,Clapham South,1.15,1.8,2.0,2.0
287,Northern,Northbound,Clapham South,Clapham Common,1.25,2.2,2.5,2.5
288,Northern,Northbound,Clapham Common,Clapham North,0.62,1.32,1.76,1.5
289,Northern,Northbound,Clapham North,Stockwell,0.82,1.72,2.49,2.0
290,Northern,Northbound,Stockwell,Oval,1.36,2.03,2.5,2.5
291,Northern,Northbound,Oval,Kennington,0.82,1.7,2.81,2.91
292,Northern,Northbound,Kennington,Elephant & Castle,0.9,1.8,2.0,2.0
293,Northern,Northbound,Elephant & Castle,Borough,0.85,1.75,2.0,2.0
294,Northern,Northbound,Borough,London Bridge,0.67,1.4,1.5,1.5
295,Northern,Northbound,London Bridge,Bank,0.69,1.53,2.34,2.0
296,Northern,Northbound,Bank,Moorgate,0.82,1.77,2.5,2.01
297,Northern,Northbound,Moorgate,Old Street,0.69,1.45,1.5,1.5
298,Northern,Northbound,Old Street,Angel,1.44,2.43,2.5,2.5
299,Northern,Northbound,Angel,Kings Cross,1.38,2.15,2.5,2.5
300,Northern,Northbound,Kings Cross,Euston,0.61,1.33,1.68,1.52
301,Northern,Northbound,Euston,Camden Town,1.71,3.88,4.42,4.02
302,Northern,Northbound,Kennington,Waterloo,1.89,2.77,3.0,3.0
303,Northern,Northbound,Waterloo,Embankment,0.7,1.4,2.0,2.0
304,Northern,Northbound,Embankment,Charing Cross,0.27,0.87,1.26,1.0
305,Northern,Northbound,Charing Cross,Leicester Square,0.46,1.17,1.5,1.5
306,Northern,Northbound,Leicester Square,Tottenham Court Road,0.4,1.03,1.5,1.5
307,Northern,Northbound,Tottenham Court Road,Goodge Street,0.62,1.28,1.5,1.5
308,Northern,Northbound,Goodge Street,Warren Street,0.46,1.07,1.5,1.5
309,Northern,Northbound,Warren Street,Euston,0.58,1.18,1.5,1.5
310,Northern,Northbound,Euston,Mornington Crescent,0.82,1.53,1.51,1.5
311,Northern,Northbound,Mornington Crescent,Camden Town,0.64,1.8,2.99,2.04
312,Northern,Northbound,Camden Town,Kentish Town,1.15,1.95,2.0,2.0
313,Northern,Northbound,Kentish Town,Tufnell Park,0.8,1.58,1.5,1.5
314,Northern,Northbound,Tufnell Park,Archway,0.88,1.68,2.0,2.0
315,Northern,Northbound,Archway,Highgate,1.7,2.75,3.0,3.0
316,Northern,Northbound,Highgate,East Finchley,1.63,2.62,3.02,3.0
317,Northern,Northbound,East Finchley,Finchley Central,2.42,3.1,4.28,4.26
318,Northern,Northbound,Finchley Central,Mill Hill East,1.52,2.98,2.5,2.5
319,Northern,Northbound,Finchley Central,West Finchley,1.14,2.1,2.0,2.0
320,Northern,Northbound,West Finchley,Woodside Park,0.98,1.55,2.0,2.0
321,Northern,Northbound,Woodside Park,Totteridge & Whetstone,1.5,2.23,2.5,2.5
322,Northern,Northbound,Totteridge & Whetstone,High Barnet,2.46,4.62,4.83,4.5
323,Northern,Northbound,Camden Town,Chalk Farm,0.85,1.55,1.5,1.5
324,Northern,Northbound,Chalk Farm,Belsize Park,1.1,1.9,2.0,2.0
325,Northern,Northbound,Belsize Park,Hampstead,1.2,2.02,2.5,2.5
326,Northern,Northbound,Hampstead,Golders Green,2.34,3.95,4.97,5.36
327,Northern,Northbound,Golders Green,Brent Cross,1.55,2.22,2.5,2.5
328,Northern,Northbound,Brent Cross,Hendon Central,1.1,1.83,2.0,2.0
329,Northern,Northbound,Hendon Central,Colindale,2.1,2.67,3.0,3.0
