,Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
253,West Ruislip,508364,186791,51.56958715703546,-0.4378601343740381,6,HA4 7WD
254,Westbourne Park,524920,181764,51.520988514909256,-0.2008825128147461,2,W11 1AB
255,Westminster,530240,179718,51.501401389193255,-0.1250020783467796,1,SW1A 2JR
256,White City,523296,180750,51.51223207227981,-0.2246319285152728,2,W12 7RH
257,Whitechapel,534738,181859,51.5195876908872,-0.0594204849881092,2,E1 1BY
258,Willesden Green,523350,184884,51.54937292482699,-0.2224076012496468,"2,3",NW2 4QT
259,Willesden Junction,521905,182942,51.53223356661704,-0.243909139837678,3,NW10 4RA
260,Wimbledon,524791,170647,51.4211075087935,-0.2066628334400531,3,SW19 1PS
261,Wimbledon Park,525274,172158,51.4345806287444,-0.1991862729730618,3,SW19 7DZ
262,Wood Green,531038,190427,51.59745355165763,-0.1095265887761309,3,N22 8HH
263,Woodford,540952,191778,51.60720190279034,0.0340562024166259,4,IG8 7QE
264,Woodside Park,525725,192564,51.61786809900362,-0.1854255027302192,4,N12 8SE
